evaluacion,corte,modelo,unidad,MAE,RMSE,MAPE,tiempo_segundos,inicio_prueba,fin_prueba,n_observaciones
Rolling,1,Línea base de persistencia,Agregado,0.15492205851063834,0.233164824140712,1.4562236366969719,4.909999552182853e-05,2025-03-13 21:00:00,2025-03-18 18:00:00,188
Rolling,1,Random Forest,Agregado,0.12933747819469107,0.1814604099252588,1.1997827297709438,2.1827325000049314,2025-03-13 21:00:00,2025-03-18 18:00:00,188
Rolling,1,XGBoost,Agregado,0.12896277531335706,0.18047335248679996,1.197899435697338,0.24738570000045002,2025-03-13 21:00:00,2025-03-18 18:00:00,188
Rolling,1,LSTM,Agregado,0.14051604406381155,0.19111060516667663,1.3030624084188103,12.963799100005417,2025-03-13 21:00:00,2025-03-18 18:00:00,188
Rolling,2,Línea base de persistencia,Agregado,0.15518188829787236,0.2356078971825024,1.4672771395390896,0.00010509999992791563,2025-03-18 18:15:00,2025-03-22 20:30:00,188
Rolling,2,Random Forest,Agregado,0.11571171538456067,0.17387163826585514,1.0737517501942733,2.2901856000098633,2025-03-18 18:15:00,2025-03-22 20:30:00,188
Rolling,2,XGBoost,Agregado,0.1227629565380989,0.1799536614106967,1.1389062052171208,0.24953329999698326,2025-03-18 18:15:00,2025-03-22 20:30:00,188
Rolling,2,LSTM,Agregado,0.12278447653620297,0.171108918024356,1.1349687308962404,19.939956800008076,2025-03-18 18:15:00,2025-03-22 20:30:00,188
Rolling,3,Línea base de persistencia,Agregado,0.1970714734042553,0.2953554540796401,1.8439504869076873,5.029999010730535e-05,2025-03-22 20:45:00,2025-03-26 23:00:00,188
Rolling,3,Random Forest,Agregado,0.14734155247300107,0.22018500498710064,1.3592358720188444,2.3847466000006534,2025-03-22 20:45:00,2025-03-26 23:00:00,188
Rolling,3,XGBoost,Agregado,0.14976478685484537,0.22204575952179442,1.3837738413286962,0.2528342000005068,2025-03-22 20:45:00,2025-03-26 23:00:00,188
Rolling,3,LSTM,Agregado,0.14053708819580074,0.1964661551504056,1.3017400328266069,11.619618899989291,2025-03-22 20:45:00,2025-03-26 23:00:00,188
Rolling,4,Línea base de persistencia,Agregado,0.3742351063829788,1.3342910937790506,20.695240755661445,4.6600005589425564e-05,2025-03-27 18:00:00,2025-03-31 22:45:00,188
Rolling,4,Random Forest,Agregado,0.3578166612759155,1.2437164507056044,22.257677835226648,2.571453999989899,2025-03-27 18:00:00,2025-03-31 22:45:00,188
Rolling,4,XGBoost,Agregado,0.5181243883602061,1.587411535785379,25.927725631124936,0.25546070000564214,2025-03-27 18:00:00,2025-03-31 22:45:00,188
Rolling,4,LSTM,Agregado,0.400204736168557,1.3098688320839411,23.426010571924706,12.348584499995923,2025-03-27 18:00:00,2025-03-31 22:45:00,188
