posición,fecha_objetivo,unidad,modelo,ventana,real,prediccion,error_absoluto,error_porcentual
1,2025-03-31 20:30:00,G2,Línea base de persistencia,"4, 12 y 24",0.460292,12.681675,12.221383,2655.1369565406308
2,2025-03-30 23:15:00,G2,LSTM,4,0.460292,12.54764461517334,12.087352615173339,2626.0184003140052
3,2025-03-31 20:30:00,G2,Random Forest,24,0.460292,12.463046790910056,12.002754790910055,2607.639235726464
4,2025-03-31 20:30:00,G2,XGBoost,4,0.460292,12.220254898071287,11.759962898071286,2554.8918725659555
5,2025-03-31 20:30:00,G1,XGBoost,4,1.265987,10.501724243164062,9.235737243164063,729.5286004646227
6,2025-03-31 20:30:00,G1,Línea base de persistencia,"4, 12 y 24",1.265987,10.292563,9.026575999999999,713.0070056011632
7,2025-03-31 20:30:00,G1,Random Forest,24,1.265987,9.99470922228704,8.72872222228704,689.4796093709525
8,2025-03-30 23:15:00,G1,LSTM,4,1.265987,9.92768096923828,8.661693969238279,684.1850642414399
9,2025-03-31 20:45:00,G2,Línea base de persistencia,"4, 12 y 24",8.767098,0.460292,8.306806,94.74977923139446
10,2025-03-31 20:45:00,G1,LSTM,4,1.419585,8.59289264678955,7.173307646789551,505.3101890192944
